==========Schedule parameters==========
{'device': 'GPU', 'CUDA_VISIBLE_DEVICES': '0', 'GPU_num': 1, 'benign_training': False, 'batch_size': 128, 'num_workers': 8, 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'gamma': 0.1, 'schedule': [100, 130], 'epochs': 150, 'log_iteration_interval': 100, 'test_epoch_interval': 10, 'save_epoch_interval': 20, 'save_dir': './attack/CIFAR10/ResNet18/BadNets', 'experiment_name': 'Normalize_ResNet18_CIFAR10_BadNets'}
==========Use GPUs to train==========
CUDA_VISIBLE_DEVICES=0
CUDA_SELECTED_DEVICES=0
Total train samples: 50000
Total test samples: 10000
Batch size: 128
iteration every epoch: 390
Initial learning rate: 0.1
[2026-04-22_18:15:38] Epoch:10/150, iteration:81/390, lr: 0.10000000149011612, loss: 0.28098607063293457, time: 11.975884199142456
[2026-04-22_18:15:50] Epoch:10/150, iteration:181/390, lr: 0.10000000149011612, loss: 0.42508694529533386, time: 11.794981956481934
[2026-04-22_18:16:02] Epoch:10/150, iteration:281/390, lr: 0.10000000149011612, loss: 0.4533100128173828, time: 11.782864332199097
[2026-04-22_18:16:14] Epoch:10/150, iteration:381/390, lr: 0.10000000149011612, loss: 0.4930034875869751, time: 11.796316862106323
==========Test result on benign test dataset==========
[2026-04-22_18:16:18] Top-1 correct / Total: 7339/10000, Top-1 accuracy: 0.7339, Top-5 correct / Total: 9684/10000, Top-5 accuracy: 0.9684, mean loss: 0.8562808632850647, time: 3.901034116744995
==========Test result on poisoned test dataset==========
[2026-04-22_18:16:20] Top-1 correct / Total: 9988/10000, Top-1 accuracy: 0.9988, Top-5 correct / Total: 10000/10000, Top-5 accuracy: 1.0, mean loss: 0.004992978647351265, time: 6.671550750732422
[2026-04-22_18:16:31] Epoch:11/150, iteration:90/390, lr: 0.10000000149011612, loss: 0.3687317371368408, time: 17.589131355285645
[2026-04-22_18:16:43] Epoch:11/150, iteration:190/390, lr: 0.10000000149011612, loss: 0.35292112827301025, time: 11.7908935546875
[2026-04-22_18:16:55] Epoch:11/150, iteration:290/390, lr: 0.10000000149011612, loss: 0.41104936599731445, time: 11.786761283874512
[2026-04-22_18:17:06] Epoch:11/150, iteration:390/390, lr: 0.10000000149011612, loss: 0.3609731197357178, time: 11.792629718780518
[2026-04-22_18:17:18] Epoch:12/150, iteration:99/390, lr: 0.10000000149011612, loss: 0.3675190806388855, time: 11.93820571899414
[2026-04-22_18:17:30] Epoch:12/150, iteration:199/390, lr: 0.10000000149011612, loss: 0.23614677786827087, time: 11.79574990272522
[2026-04-22_18:17:42] Epoch:12/150, iteration:299/390, lr: 0.10000000149011612, loss: 0.43959030508995056, time: 11.790670156478882
[2026-04-22_18:17:54] Epoch:13/150, iteration:8/390, lr: 0.10000000149011612, loss: 0.3200564980506897, time: 12.082062721252441
[2026-04-22_18:18:06] Epoch:13/150, iteration:108/390, lr: 0.10000000149011612, loss: 0.40859925746917725, time: 11.794839143753052
[2026-04-22_18:18:18] Epoch:13/150, iteration:208/390, lr: 0.10000000149011612, loss: 0.2565217912197113, time: 11.792815685272217
[2026-04-22_18:18:29] Epoch:13/150, iteration:308/390, lr: 0.10000000149011612, loss: 0.19475120306015015, time: 11.78827691078186
[2026-04-22_18:18:41] Epoch:14/150, iteration:17/390, lr: 0.10000000149011612, loss: 0.23152615129947662, time: 12.019631624221802
[2026-04-22_18:18:53] Epoch:14/150, iteration:117/390, lr: 0.10000000149011612, loss: 0.42590901255607605, time: 11.795109510421753
[2026-04-22_18:19:05] Epoch:14/150, iteration:217/390, lr: 0.10000000149011612, loss: 0.4184882938861847, time: 11.802999019622803
[2026-04-22_18:19:17] Epoch:14/150, iteration:317/390, lr: 0.10000000149011612, loss: 0.44131070375442505, time: 11.788056135177612
[2026-04-22_18:19:29] Epoch:15/150, iteration:26/390, lr: 0.10000000149011612, loss: 0.2545135021209717, time: 12.022401332855225
[2026-04-22_18:19:41] Epoch:15/150, iteration:126/390, lr: 0.10000000149011612, loss: 0.31480711698532104, time: 11.797242164611816
[2026-04-22_18:19:52] Epoch:15/150, iteration:226/390, lr: 0.10000000149011612, loss: 0.3929064869880676, time: 11.79055404663086
[2026-04-22_18:20:04] Epoch:15/150, iteration:326/390, lr: 0.10000000149011612, loss: 0.3357076644897461, time: 11.80502438545227
[2026-04-22_18:20:16] Epoch:16/150, iteration:35/390, lr: 0.10000000149011612, loss: 0.1787375509738922, time: 11.943652629852295
[2026-04-22_18:20:28] Epoch:16/150, iteration:135/390, lr: 0.10000000149011612, loss: 0.2596178650856018, time: 11.781561613082886
[2026-04-22_18:20:40] Epoch:16/150, iteration:235/390, lr: 0.10000000149011612, loss: 0.3273773789405823, time: 11.787407159805298
[2026-04-22_18:20:52] Epoch:16/150, iteration:335/390, lr: 0.10000000149011612, loss: 0.32827508449554443, time: 11.789077997207642
[2026-04-22_18:21:04] Epoch:17/150, iteration:44/390, lr: 0.10000000149011612, loss: 0.16454823315143585, time: 12.006142616271973
[2026-04-22_18:21:15] Epoch:17/150, iteration:144/390, lr: 0.10000000149011612, loss: 0.21264813840389252, time: 11.799938440322876
